Character;EXT;NEU;AGR;CON;OPN;EXT_MEAN;NEU_MEAN;AGR_MEAN;CON_MEAN;OPN_MEAN;Type
photographer;1.0;1.0;0.2;0.6;1.0;1;1;0;0;1;OPN
lockhart;1.0;1.0;0.14285714285714285;0.42857142857142855;1.0;1;1;0;0;1;OPN
harry and ron;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
professor sprout;0.8421052631578947;0.9473684210526315;0.5263157894736842;0.2631578947368421;1.0;0;0;0;0;1;OPN
penelope clearwater;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
colin;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
gilderoy lockhart;0.9107142857142857;0.9285714285714286;0.4375;0.1875;1.0;0;0;0;0;1;OPN
cornish pixies;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
wood;1.0;0.9230769230769231;0.46153846153846156;0.3076923076923077;0.9230769230769231;1;0;0;0;0;EXT
voice;0.9;1.0;0.1;0.1;1.0;0;1;0;0;1;OPN
picture;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
slytherins;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
madam pomfrey;0.8333333333333334;1.0;0.4166666666666667;0.3333333333333333;1.0;0;1;0;0;1;OPN
moaning myrtle;0.875;0.875;0.5416666666666666;0.20833333333333334;1.0;0;0;0;0;1;OPN
justin finch-fletchley;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
crabbe;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
diary;1.0;1.0;0.25;0.0;1.0;1;1;0;0;1;OPN
tom riddle;0.782608695652174;0.8985507246376812;0.30434782608695654;0.2028985507246377;0.9855072463768116;0;0;0;0;1;OPN
harry-ron-hermione;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
fudge;0.953125;0.96875;0.453125;0.109375;1.0;0;0;0;0;1;OPN
aragog;0.9473684210526315;1.0;0.2631578947368421;0.3157894736842105;1.0;0;1;0;0;1;OPN
student;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
aunt marge;0.7777777777777778;0.9444444444444444;0.3888888888888889;0.1111111111111111;1.0;0;0;0;0;1;OPN
stan shunpike;0.9629629629629629;1.0;0.37037037037037035;0.18518518518518517;1.0;0;1;0;0;1;OPN
shrunken head;0.8666666666666667;0.8666666666666667;0.4;0.26666666666666666;1.0;0;0;0;0;1;OPN
tom;0.3333333333333333;1.0;1.0;0.0;1.0;0;1;1;0;1;OPN
vendor;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
housekeeper;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
lupin;0.8495145631067961;0.9223300970873787;0.4029126213592233;0.1553398058252427;0.9951456310679612;0;0;0;0;1;OPN
trelawney;0.8947368421052632;0.8421052631578947;0.42105263157894735;0.21052631578947367;1.0;0;0;0;0;1;OPN
bem;0.42857142857142855;1.0;0.2857142857142857;0.2857142857142857;1.0;0;1;0;0;1;OPN
pansy parkinson;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
parvati;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
teacher;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
fred & george;0.6666666666666666;1.0;0.3333333333333333;0.0;1.0;0;1;0;0;1;OPN
madam rosmerta;0.8333333333333334;1.0;0.25;0.16666666666666666;1.0;0;1;0;0;1;OPN
shrunken head 1;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
shrunken head 2;1.0;1.0;0.0;0.5;1.0;1;1;0;0;1;OPN
goyle;1.0;1.0;0.3333333333333333;0.0;1.0;1;1;0;0;1;OPN
sirius;0.8840579710144928;0.9130434782608695;0.4782608695652174;0.2028985507246377;1.0;0;0;0;0;1;OPN
pettigrew;1.0;1.0;0.2777777777777778;0.05555555555555555;1.0;1;1;0;0;1;OPN
boy 1;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
