Character,Tokens,Size_of_vocab,Avg_length,Prop_stop_word
Dumbledore,737,381,9.813333333333333,51.766304347826086
McGonagall,518,256,8.09375,49.42084942084942
Hagrid,1449,792,6.716279069767442,54.84764542936288
Petunia,286,115,6.355555555555555,40.20979020979021
Dudley,65,40,4.333333333333333,61.53846153846154
Vernon,200,102,5.405405405405405,51.0
Harry,1685,922,5.106060606060606,54.718100890207715
Snake,1,1,1.0,100.0
Someone,1,1,1.0,100.0
Barkeep Tom,12,8,4.0,66.66666666666667
Man,12,11,2.4,91.66666666666667
Witch,12,9,6.0,75.0
Quirrell,223,119,6.194444444444445,53.36322869955157
Boy,31,20,4.428571428571429,64.51612903225806
Goblin,10,5,5.0,50.0
Griphook,10,10,2.0,100.0
Ollivander,135,66,6.75,48.888888888888886
Trainmaster,13,9,6.5,69.23076923076923
Mrs.Weasley,74,42,6.7272727272727275,56.75675675675676
George,43,23,6.142857142857143,53.48837209302326
Fred,32,21,4.571428571428571,65.625
Ginny,2,2,2.0,100.0
Ron,1027,575,4.876190476190477,56.15234375
Woman,5,3,5.0,60.0
Hermione,916,509,5.382352941176471,55.62841530054645
Neville,91,43,5.6875,47.252747252747255
Malfoy,201,107,5.583333333333333,53.233830845771145
Whispers,2,2,2.0,100.0
SortingHat,92,48,4.842105263157895,52.17391304347826
Seamus,65,40,5.909090909090909,61.53846153846154
Percy,123,70,5.3478260869565215,56.91056910569106
SirNicholas,45,25,5.625,55.55555555555556
Girl,18,11,3.6,61.111111111111114
Maninpaint,3,2,3.0,66.66666666666667
FatLady,1,1,1.0,100.0
Snape,344,167,10.424242424242424,48.54651162790697
Dean,6,5,6.0,83.33333333333333
MadamHooch,195,103,7.76,53.09278350515464
Class,10,7,2.5,70.0
Filch,143,75,6.5,52.44755244755245
All,2,2,1.0,100.0
Oliver,173,94,7.208333333333333,54.335260115606935
Flitwick,63,41,4.846153846153846,65.07936507936508
Draco,3,2,1.5,66.66666666666667
RonandHarry,7,2,2.3333333333333335,28.571428571428573
OIiver,2,2,2.0,100.0
LeeJordan,101,69,7.214285714285714,68.31683168316832
Gryffindors,1,1,1.0,100.0
Flint,6,3,3.0,50.0
Crowd,7,7,3.5,100.0
Hermoine,38,18,12.666666666666666,47.36842105263158
All3,6,3,6.0,50.0
Firenze,112,50,8.0,44.642857142857146
Voldemort,160,73,6.115384615384615,45.911949685534594
Students,2,2,2.0,100.0
