Character;EXT;NEU;AGR;CON;OPN;EXT_MEAN;NEU_MEAN;AGR_MEAN;CON_MEAN;OPN_MEAN;Type
lucius malfoy;0.8108108108108109;0.918918918918919;0.40540540540540543;0.1891891891891892;1.0;0;0;0;0;1;OPN
photographer;1.0;1.0;0.2;0.6;1.0;1;1;0;0;1;OPN
lockhart;1.0;1.0;0.14285714285714285;0.42857142857142855;1.0;1;1;0;0;1;OPN
harry and ron;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
professor sprout;0.8421052631578947;0.9473684210526315;0.47368421052631576;0.2631578947368421;1.0;0;0;0;0;1;OPN
penelope clearwater;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
colin;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
gilderoy lockhart;0.8839285714285714;0.9196428571428571;0.45535714285714285;0.16964285714285715;1.0;0;0;0;0;1;OPN
cornish pixies;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
wood;0.9230769230769231;0.8461538461538461;0.6153846153846154;0.3076923076923077;1.0;0;0;0;0;1;OPN
voice;0.9;0.95;0.15;0.1;1.0;0;0;0;0;1;OPN
picture;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
slytherins;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
madam pomfrey;0.8333333333333334;1.0;0.5;0.3333333333333333;1.0;0;1;0;0;1;OPN
moaning myrtle;0.9166666666666666;0.9166666666666666;0.5;0.25;1.0;0;0;0;0;1;OPN
justin finch-fletchley;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
crabbe;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
diary;1.0;1.0;0.25;0.0;1.0;1;1;0;0;1;OPN
tom riddle;0.782608695652174;0.8695652173913043;0.3333333333333333;0.2608695652173913;0.9855072463768116;0;0;0;0;1;OPN
harry-ron-hermione;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
fudge;0.90625;0.9375;0.5;0.140625;1.0;0;0;0;0;1;OPN
aragog;0.9473684210526315;1.0;0.2631578947368421;0.3157894736842105;1.0;0;1;0;0;1;OPN
student;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
aunt marge;0.8055555555555556;0.9444444444444444;0.3333333333333333;0.1111111111111111;1.0;0;0;0;0;1;OPN
stan shunpike;0.9259259259259259;1.0;0.2962962962962963;0.2222222222222222;1.0;0;1;0;0;1;OPN
shrunken head;0.7333333333333333;0.9333333333333333;0.26666666666666666;0.13333333333333333;1.0;0;0;0;0;1;OPN
tom;0.3333333333333333;1.0;1.0;0.0;1.0;0;1;1;0;1;OPN
vendor;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
housekeeper;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
lupin;0.8349514563106796;0.9174757281553398;0.41262135922330095;0.18446601941747573;0.9951456310679612;0;0;0;0;1;OPN
trelawney;0.868421052631579;0.8421052631578947;0.47368421052631576;0.23684210526315788;1.0;0;0;0;0;1;OPN
bem;0.42857142857142855;1.0;0.5714285714285714;0.2857142857142857;1.0;0;1;0;0;1;OPN
pansy parkinson;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
